Sıra No,İşletme Adı,Tesis İli,Lisans Konuları
28,TOROSLAR ATIK Depolama GERİ DÖNÜŞÜM VE İNŞAAT TAAHHÜT SANAYİ TİCARET LİMİTED ŞİRKETİ.,ADANA, Hurda Metal /ÖTA İşleme
28,TOROSLAR ATIK Depolama GERİ DÖNÜŞÜM VE İNŞAAT TAAHHÜT SANAYİ TİCARET LİMİTED ŞİRKETİ.,ADANA, Atık Elektrikli ve Elektronik Eşya İşleme
28,TOROSLAR ATIK Depolama GERİ DÖNÜŞÜM VE İNŞAAT TAAHHÜT SANAYİ TİCARET LİMİTED ŞİRKETİ.,ADANA, PCB Arındırma
28,TOROSLAR ATIK Depolama GERİ DÖNÜŞÜM VE İNŞAAT TAAHHÜT SANAYİ TİCARET LİMİTED ŞİRKETİ.,ADANA, Atık Ara Depolama
29,ERMETAL GERİ DÖNÜŞÜM SANAYİ VE TİCARET LİMİTED ŞİRKETİ TEHLİKELİ ATIK ARA Depolama ŞUBESİ,DENİZLİ,Atık Elektrikli ve Elektronik Eşya İşleme
29,ERMETAL GERİ DÖNÜŞÜM SANAYİ VE TİCARET LİMİTED ŞİRKETİ TEHLİKELİ ATIK ARA Depolama ŞUBESİ,DENİZLİ, Atık Ara Depolama
30,NADİR METAL RAFİNERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,İSTANBUL,Tehlikeli Atık Geri Kazanımı
30,NADİR METAL RAFİNERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,İSTANBUL,Tehlikesiz Atık Geri Kazanımı
31,SAY RAMAT KUYUMCULUK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,İSTANBUL,Tehlikeli Atık Geri Kazanımı
31,SAY RAMAT KUYUMCULUK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,İSTANBUL,Tehlikesiz Atık Geri Kazanımı
32,ETİ GÜMÜŞ ANONİM ŞİRKETİ - KÜTAHYA ŞUBESİ,KÜTAHYA,Maden Atığı Bertaraf- Depolama Kategori 
33,TÜPRAG METAL MAD. SAN. VE TİC. A.Ş. UŞAK ŞUBESİ,UŞAK,Maden Atığı Bertaraf- Depolama Kategori 
34,TURYAM GERİ KAZANIM ATIKTAN TÜRETİLMİŞ YAKIT Depolama LOJİSTİK PETROL ÜRÜNLERİ İNŞAAT MEDİKAL TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,MERSİN,Tehlikeli Atık Geri Kazanımı
34,TURYAM GERİ KAZANIM ATIKTAN TÜRETİLMİŞ YAKIT Depolama LOJİSTİK PETROL ÜRÜNLERİ İNŞAAT MEDİKAL TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,MERSİN,Tehlikesiz Atık Geri Kazanımı
34,TURYAM GERİ KAZANIM ATIKTAN TÜRETİLMİŞ YAKIT Depolama LOJİSTİK PETROL ÜRÜNLERİ İNŞAAT MEDİKAL TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,MERSİN, Atık Elektrikli ve Elektronik Eşya İşleme
